fid,ID,layer,area,BUA22NM
1,A334842D-0788-41EE-A333-D05C7D488546,TA_TidalWater,254093,Bridlington
2,DFDAD24B-FE5D-4A3B-87B4-0B35E8CFF8E8,NS_TidalWater,677089,Renfrew
3,8478BD6C-BEEE-4073-BDA0-C749B0E61C69,TF_TidalWater,65289,Boston
4,ECF6F625-915F-4C99-91C1-A08FEC59DFAE,NZ_TidalWater,716407,Jarrow
5,50313F4A-0D46-42F9-9F77-A16BE2715FF3,TL_TidalWater,135154,Sittingbourne
6,6F4CD0E1-2035-49DA-AC5E-0A0511873449,TA_TidalWater,21055,Beverley
7,A4FF62FB-9948-4B66-B217-43B7D4AC2BA6,NZ_TidalWater,1090452,Hartlepool
8,DBAB7DDF-C945-4F22-8EA4-F9ED610A8BE4,TQ_TidalWater,246349,Chafford Hundred and West Thurrock
9,F76011D3-6ECF-4B0A-A823-CF1202F72CD1,TQ_TidalWater,36863,Redbridge
10,B4E75643-8308-45BF-AD9A-1F3BFD985962,ST_TidalWater,101357,Cardiff
11,3BE4EB4F-2596-468F-BB64-479212DB1EAE,ST_TidalWater,646272,Avonmouth
12,ECF6F625-915F-4C99-91C1-A08FEC59DFAE,NZ_TidalWater,1160649,South Shields
13,50313F4A-0D46-42F9-9F77-A16BE2715FF3,TL_TidalWater,14695,Southend-on-Sea
14,F76011D3-6ECF-4B0A-A823-CF1202F72CD1,TQ_TidalWater,760181,Barking and Dagenham
15,DFDAD24B-FE5D-4A3B-87B4-0B35E8CFF8E8,NS_TidalWater,960051,Clydebank
16,66379248-6E9A-4DE3-9760-C4787AB11922,TF_TidalWater,126236,Wisbech
17,C25ABA3B-B4CB-490F-9767-3B5662AF9DFE,SK_TidalWater,216582,Gainsborough
18,4748A483-26BA-403E-9352-EFB8BFFD7906,TQ_TidalWater,298871,Bexhill-on-Sea
19,4E6D111D-125B-4DA1-B78C-4183077CB131,TM_TidalWater,503317,Ipswich
20,EE7F1BBD-005D-41F2-ADA3-CFBB2E70A06E,NZ_TidalWater,105267,Washington
21,E4D3303D-AF9B-4B04-AB80-884A38FA72EE,SD_TidalWater,14514,Liverpool
22,FDAB03B4-DCBB-4184-8791-12BBCAB3800A,SD_TidalWater,396704,Barrow-in-Furness
23,E5E5C24C-10FB-498E-B842-D3DCF467A0AE,ST_TidalWater,31583,Bridgwater
24,8A76E45E-7686-4CFC-A8D8-37970A65780B,NO_TidalWater,187173,Perth
25,EB54C331-E9FB-49E1-BE26-4C78D86C6F94,SJ_TidalWater,2480,Runcorn
26,8E8D57B2-622E-4B7B-BCA9-16417C82D8E4,SU_TidalWater,309810,Worthing
27,0278A608-27FD-4E69-B01B-CB91434E4E40,NZ_TidalWater,23153,Thornaby-on-Tees
28,5A7AEF19-C131-43BF-8485-961BBDCFC78C,SX_TidalWater,54443,St Austell
29,B5A756F9-4676-480D-8459-F811683F1C2B,TQ_TidalWater,558462,Hounslow
30,330BD8BA-C0CD-4C71-8A27-DF2B724869C5,SS_TidalWater,133156,Barnstaple
31,B5A756F9-4676-480D-8459-F811683F1C2B,TQ_TidalWater,952696,Hammersmith and Fulham
32,44C21F23-99B3-4A20-A563-C5100B5A4ED9,SY_TidalWater,1483845,Weymouth
33,8F717C9F-5F78-4624-8D11-6EB7EE78F961,TF_TidalWater,30255,Spalding
34,CED9448D-7691-47E1-8737-3F788F23AA07,TA_TidalWater,2375160,Kingston upon Hull
35,8244C9F7-6E59-431D-9FD1-5A569E1A0B19,SD_TidalWater,1024,Lytham St Anne's
36,51194754-7DCE-40B7-858C-65432D36E999,NS_TidalWater,434431,Stirling
37,4E999EEF-493E-417A-A61F-3180DB47B737,TQ_TidalWater,952856,City of Westminster
38,6F3482C9-A1BD-4A5F-AF0E-DAEC80A69B60,SU_TidalWater,59572,Fareham
39,03153774-778A-41E6-BB5C-402036626D30,TG_TidalWater,1335991,Great Yarmouth
40,0278A608-27FD-4E69-B01B-CB91434E4E40,NZ_TidalWater,586447,Billingham
41,4748A483-26BA-403E-9352-EFB8BFFD7906,TQ_TidalWater,704268,Hastings
42,4748A483-26BA-403E-9352-EFB8BFFD7906,TQ_TidalWater,673967,Eastbourne
43,17B163E3-F065-49F9-A136-8F7A2709D792,SY_TidalWater,2828996,Poole
44,17B163E3-F065-49F9-A136-8F7A2709D792,SY_TidalWater,1276514,Bournemouth
45,A5EB406F-E7C2-4557-9DF2-FBBE728FDEC5,TM_TidalWater,1106935,Clacton-on-Sea
46,78D87AED-4437-44D3-84C7-0700BB4CFB04,NS_TidalWater,43321,Larbert and Stenhousemuir
47,E4D3303D-AF9B-4B04-AB80-884A38FA72EE,SD_TidalWater,8837,Birkenhead
48,E4D3303D-AF9B-4B04-AB80-884A38FA72EE,SD_TidalWater,313836,Crosby (Sefton)
49,F902D9FA-4D62-4F77-91FA-A880BB387F6D,ST_TidalWater,20411,Weston-super-Mare
50,4B0C654D-C624-4940-8065-ED7EC63A58CD,NX_TidalWater,168049,Workington
51,8907C1D8-316F-4BC6-9E38-2BFD38551909,SO_TidalWater,66005,Gloucester
52,B5A756F9-4676-480D-8459-F811683F1C2B,TQ_TidalWater,1185608,Richmond upon Thames
53,345D8697-637C-4D54-BB96-DC7C014F8335,NZ_TidalWater,1311721,Gateshead
54,50C99E26-67EB-4118-A4B9-09376917BAB8,TF_TidalWater,27955,King's Lynn
55,073F99A5-A1A4-4B5A-BEA0-774104AF72E6,TL_TidalWater,112105,Maldon
56,BAE6A961-70E7-4C2A-9DB4-A34556C2B269,SS_TidalWater,292452,Swansea
57,04D93964-230F-42A2-A1B7-93926BB91500,TA_TidalWater,1049345,North Killingholme
58,0278A608-27FD-4E69-B01B-CB91434E4E40,NZ_TidalWater,1373479,Middlesbrough
59,66F7BF34-65E9-418F-B85A-40254D7EF4D1,SD_TidalWater,107501,Lancaster
60,78D87AED-4437-44D3-84C7-0700BB4CFB04,NS_TidalWater,22854,Falkirk
61,4F7DCE05-ABF9-4BE2-8645-3D26E2B24EE0,NS_TidalWater,468291,Ayr
62,59AB4E44-524B-458E-8977-1B948094F98E,NO_TidalWater,106071,Arbroath
63,8E8D57B2-622E-4B7B-BCA9-16417C82D8E4,SU_TidalWater,617895,Bognor Regis
64,ECF6F625-915F-4C99-91C1-A08FEC59DFAE,NZ_TidalWater,1391852,Tynemouth
65,C3A3C2B4-D85F-4ED1-A92E-D05D16279D35,TQ_TidalWater,18112,Maidstone
66,4D6908E2-FFAF-44AD-A677-03A4D66A8721,NT_TidalWater,1211145,Edinburgh
67,212DB2E2-A9A7-4631-9A4E-BAF9E5DA5CB3,TQ_TidalWater,263098,Lewisham
68,6F3482C9-A1BD-4A5F-AF0E-DAEC80A69B60,SU_TidalWater,2546405,Southampton
69,F76011D3-6ECF-4B0A-A823-CF1202F72CD1,TQ_TidalWater,526970,Havering
70,EB54C331-E9FB-49E1-BE26-4C78D86C6F94,SJ_TidalWater,20695,Widnes
71,367BD72E-0584-479B-A186-E017D7C8FE0A,SJ_TidalWater,304402,Warrington
72,8E8D57B2-622E-4B7B-BCA9-16417C82D8E4,SU_TidalWater,1837602,Brighton and Hove
73,11C0365C-268D-445C-8C0F-DDB4596DA508,SD_TidalWater,10,Morecambe
74,6F3482C9-A1BD-4A5F-AF0E-DAEC80A69B60,SU_TidalWater,10171,Newport (Isle of Wight)
75,1859BB10-9B0B-4154-AF16-28CAA19528C6,ST_TidalWater,895286,Newport (Newport)
76,0A6FCD1A-198F-4F73-9B63-FB41334C1A28,SD_TidalWater,13274,Fleetwood
77,92EEA52C-FA47-4BE1-9561-0B1450BA4C50,NJ_TidalWater,1158642,Aberdeen
78,0278A608-27FD-4E69-B01B-CB91434E4E40,NZ_TidalWater,84513,Stockton-on-Tees
79,A67F492D-04EB-4DD3-A5DB-53651B6A5F95,NS_TidalWater,1827004,Glasgow
80,CD110D18-1E32-415B-9531-6C62B72A2265,NZ_TidalWater,416584,Scarborough
81,ECF6F625-915F-4C99-91C1-A08FEC59DFAE,NZ_TidalWater,253708,Whitley Bay
82,747B2F3C-D682-4E79-B792-0EB24C2E992B,SJ_TidalWater,166565,Chester
83,25B6B31E-2342-4D7E-8D4E-3DB07B3A9CC8,SD_TidalWater,252245,Preston (Preston)
84,B86D519F-FE05-42A7-A137-8B647B9699CC,TQ_TidalWater,123135,Larkfield
85,A594F3E4-6158-4B15-87D4-2491228B8DC9,SU_TidalWater,10046,Havant
86,FDAA16D7-2071-4350-B0FF-06A0ACA79575,NZ_TidalWater,1290718,Blyth (Northumberland)
87,4F503307-6448-4298-8AB7-D4403BE33632,SS_TidalWater,378229,Barry (Vale of Glamorgan)
88,EE7F1BBD-005D-41F2-ADA3-CFBB2E70A06E,NZ_TidalWater,1964466,Sunderland
89,25B6B31E-2342-4D7E-8D4E-3DB07B3A9CC8,SD_TidalWater,130383,Bamber Bridge
90,B96F3BA4-B4A2-4D16-958F-203665618206,NT_TidalWater,345660,Kirkcaldy
91,F76011D3-6ECF-4B0A-A823-CF1202F72CD1,TQ_TidalWater,951206,Bexley
92,212DB2E2-A9A7-4631-9A4E-BAF9E5DA5CB3,TQ_TidalWater,2358360,Tower Hamlets
93,1113FDF0-4227-4CDF-9DA9-DA481BF19399,SS_TidalWater,145831,Port Talbot
94,DBAB7DDF-C945-4F22-8EA4-F9ED610A8BE4,TQ_TidalWater,655538,Gravesend
95,EF1EBBCD-3F18-4CEA-AD79-7479B740CB5A,NS_TidalWater,82526,Paisley
96,2FC31A48-DD80-4049-BA56-1BDBCEDE40B6,NS_TidalWater,3060,Alloa
97,50313F4A-0D46-42F9-9F77-A16BE2715FF3,TL_TidalWater,110980,Whitstable
98,A2773643-A141-41B4-92FA-C91889875ADA,SX_TidalWater,1042282,Torquay
99,254BB1DF-AD93-4DD6-ABD1-234633768BED,NX_TidalWater,146384,Whitehaven
100,50EBCAC5-BA1A-49F3-A35C-A0560A60A7E6,TQ_TidalWater,395787,Kensington and Chelsea
101,4F7DCE05-ABF9-4BE2-8645-3D26E2B24EE0,NS_TidalWater,14126,Prestwick
102,193A6ABE-6EA9-4D31-8CB1-609460134687,SE_TidalWater,12177,Doncaster
103,6F3482C9-A1BD-4A5F-AF0E-DAEC80A69B60,SU_TidalWater,14513,Totton
104,F76011D3-6ECF-4B0A-A823-CF1202F72CD1,TQ_TidalWater,1527294,Newham
105,6F3482C9-A1BD-4A5F-AF0E-DAEC80A69B60,SU_TidalWater,201884,Locks Heath
106,03153774-778A-41E6-BB5C-402036626D30,TG_TidalWater,1798503,Lowestoft
107,33A9916F-1BFC-4A33-8588-92F3931ADB6E,SD_TidalWater,60711,Blackpool
108,001DF47F-C806-4B27-95E6-D335E6A38EE5,NO_TidalWater,117961,Dundee
109,4E999EEF-493E-417A-A61F-3180DB47B737,TQ_TidalWater,41719,Camden
110,537C2254-7D15-4B01-A14C-FB8DD77D8F2E,TQ_TidalWater,746673,Gillingham (Medway)
111,21773267-7CFF-4400-AF49-D46C8BBD61FA,TQ_TidalWater,397,Thundersley and South Benfleet
112,8EA19F00-4A82-44CE-A776-04BB9FD4BF2E,TR_TidalWater,897089,Folkestone
113,8E8D57B2-622E-4B7B-BCA9-16417C82D8E4,SU_TidalWater,371363,Rustington
114,501261D0-9484-4DED-8549-AA4DD0A279CD,NZ_TidalWater,19479,Ashington (Northumberland)
115,A828EDAE-A94A-4AB1-B4B0-0C0A22266BEF,SX_TidalWater,462105,Exmouth
116,91C0CE3F-8128-43FE-810A-B63BBB04FB91,TR_TidalWater,2116634,Dover
117,537C2254-7D15-4B01-A14C-FB8DD77D8F2E,TQ_TidalWater,519380,Chatham
118,74C480A5-3C90-4F84-B6CF-420AE971D37F,SH_TidalWater,67170,Colwyn Bay
119,345D8697-637C-4D54-BB96-DC7C014F8335,NZ_TidalWater,2201869,Newcastle upon Tyne
120,8E8D57B2-622E-4B7B-BCA9-16417C82D8E4,SU_TidalWater,388889,Seaford
121,6F3482C9-A1BD-4A5F-AF0E-DAEC80A69B60,SU_TidalWater,1162624,Gosport
122,B7F3583A-84A7-45DE-B375-AEA62D1A3A66,TF_TidalWater,419,Skegness
123,E4D3303D-AF9B-4B04-AB80-884A38FA72EE,SD_TidalWater,5602,Wallasey
124,747B13EA-2D54-4963-9721-5CA3423E1D5E,SN_TidalWater,51900,Llanelli
125,6F3482C9-A1BD-4A5F-AF0E-DAEC80A69B60,SU_TidalWater,453572,Lee-on-the-Solent
126,0E7A56D3-AF4C-452A-A57A-B0A0055F68BD,TR_TidalWater,847490,Ramsgate
127,ADCA9FD6-193F-4DE1-BF38-3B14B640BFA8,SW_TidalWater,225370,Newquay
128,17B163E3-F065-49F9-A136-8F7A2709D792,SY_TidalWater,869578,"Christchurch (Bournemouth, Christchurch and Poole)"
129,A2773643-A141-41B4-92FA-C91889875ADA,SX_TidalWater,822814,Paignton
130,C6D7F082-0DEA-4152-A2ED-1C51896CCD48,NK_TidalWater,959555,Peterhead
131,21773267-7CFF-4400-AF49-D46C8BBD61FA,TQ_TidalWater,1807,Basildon
132,D818E191-44D8-4FD4-B6B2-66FD52AC7ED0,NH_TidalWater,288480,Inverness
133,D0714974-AEE5-41B1-8403-827C1B1F362A,SH_TidalWater,2247,Rhyl
134,F76011D3-6ECF-4B0A-A823-CF1202F72CD1,TQ_TidalWater,2279236,Greenwich
135,54DCF12C-4AEE-4A7A-B415-6D296C77EF9C,TR_TidalWater,179175,Margate
136,0E7A56D3-AF4C-452A-A57A-B0A0055F68BD,TR_TidalWater,333453,Broadstairs
137,3BE4EB4F-2596-468F-BB64-479212DB1EAE,ST_TidalWater,257976,Bristol
138,03C19691-9045-40D0-8F85-C28348D2130A,SW_TidalWater,9312,Truro
139,B7575469-81D4-48BF-8FAE-9AA829D2E663,TQ_TidalWater,479249,Dartford
140,1B1B95B1-3CB5-4E13-B7BB-B2403E32D309,TA_TidalWater,121,Humberston and New Waltham
141,136DD8F3-0042-4190-A9B6-67BE49F5A5A7,SX_TidalWater,2341796,Plymouth
142,A828EDAE-A94A-4AB1-B4B0-0C0A22266BEF,SX_TidalWater,37613,Exeter
143,537C2254-7D15-4B01-A14C-FB8DD77D8F2E,TQ_TidalWater,1260555,Rochester
144,B4E75643-8308-45BF-AD9A-1F3BFD985962,ST_TidalWater,282070,Penarth
145,0F3BB508-D00A-4AE8-B157-60140F9F053D,SS_TidalWater,154501,Neath
146,8244C9F7-6E59-431D-9FD1-5A569E1A0B19,SD_TidalWater,849,Southport
147,E4D3303D-AF9B-4B04-AB80-884A38FA72EE,SD_TidalWater,29082,Bootle (Sefton)
148,8E8D57B2-622E-4B7B-BCA9-16417C82D8E4,SU_TidalWater,207061,Lancing and Sompting
149,DBAB7DDF-C945-4F22-8EA4-F9ED610A8BE4,TQ_TidalWater,246767,Grays
150,A0015FFC-3711-4850-A3C5-3D89D5F68222,TG_TidalWater,256296,Norwich
151,50EBCAC5-BA1A-49F3-A35C-A0560A60A7E6,TQ_TidalWater,1151268,Wandsworth
152,15FE0FB0-38CA-475B-9D95-7AA02E29F1C0,NS_TidalWater,166694,Irvine
153,0BD3CBAD-F700-4743-93EF-620EDCD06EA2,SX_TidalWater,40594,Newton Abbot
154,6A88E6D0-799B-4C72-B2C6-AB4A9C9B8A2B,SJ_TidalWater,315,Bebington
155,C99D795A-E0CD-4468-8C01-48A823829844,SU_TidalWater,1510882,Portsmouth
156,4E999EEF-493E-417A-A61F-3180DB47B737,TQ_TidalWater,1530539,Southwark
157,4E999EEF-493E-417A-A61F-3180DB47B737,TQ_TidalWater,704639,Lambeth
158,FE09E95E-780E-46F9-9B8B-BDE6AEBB9FC0,NS_TidalWater,1180579,Greenock
159,0278A608-27FD-4E69-B01B-CB91434E4E40,NZ_TidalWater,27351,Redcar
160,5968F0E3-4AD8-4C48-87B8-2AB8D5D94741,TM_TidalWater,34066,Colchester
161,EB54C331-E9FB-49E1-BE26-4C78D86C6F94,SJ_TidalWater,10503,Ellesmere Port
162,A987D4C9-3F1C-4517-BA1F-810BD1EE272D,NX_TidalWater,17212,Dumfries
163,21773267-7CFF-4400-AF49-D46C8BBD61FA,TQ_TidalWater,528355,Canvey Island
164,8E3BB616-5AF8-43E7-9A0E-B6D50CBE1EB6,TM_TidalWater,1016717,Felixstowe
165,78D87AED-4437-44D3-84C7-0700BB4CFB04,NS_TidalWater,19210,Grangemouth
166,47106187-A4DF-433E-AA5A-32C93B1B2861,SM_TidalWater,488697,Milford Haven
167,21773267-7CFF-4400-AF49-D46C8BBD61FA,TQ_TidalWater,3925,Stanford-le-Hope
168,87E3E767-14AE-44C3-B991-AFBBE985CC88,NZ_TidalWater,5734,Wallsend
